# HTTP Cookie File
# http://www.netscape.com/newsref/std/cookie_spec.html
# This is a generated file!  Do not edit.
# To delete cookies, use the Cookie Manager.

www.itconversations.com	FALSE	/L10Apps/	FALSE	1121177216	L10HC	34136%7C2004%2F2%2F27%7C%7C
www.tbray.org	FALSE	/	FALSE	1121176799	style	sans
www.tbray.org	FALSE	/	FALSE	1120817577	style	sans
www.tbray.org	FALSE	/	FALSE	1118093090	style	sans
www.tbray.org	FALSE	/	FALSE	1118492663	style	sans
www.tbray.org	FALSE	/	FALSE	1117641256	style	sans
natalian.org	FALSE	/	FALSE	1112292143	wordpresspass_77ec62d0d056629b1bca35f4d94af8cd	7c4668fc8a16a3db996b9b2b48c86b7a
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1117402003	wordpresspass_77ec62d0d056629b1bca35f4d94af8cd	d889248cd0224792f2d378741bdbe60e
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1112173791	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1117705974	wordpresspass_77ec62d0d056629b1bca35f4d94af8cd	d889248cd0224792f2d378741bdbe60e
natalian.org	FALSE	/	FALSE	1118675234	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1117139524	comment_author_77ec62d0d056629b1bca35f4d94af8cd	Kai
natalian.org	FALSE	/	FALSE	1117549827	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1117402003	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1112292143	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1117705974	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1119367375	comment_author_77ec62d0d056629b1bca35f4d94af8cd	Kai
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1118675234	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1118675234	wordpresspass_77ec62d0d056629b1bca35f4d94af8cd	d889248cd0224792f2d378741bdbe60e
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
natalian.org	FALSE	/	FALSE	1116864541	comment_author_77ec62d0d056629b1bca35f4d94af8cd	Kai
natalian.org	FALSE	/	FALSE	1120727640	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1120727640	wordpresspass_77ec62d0d056629b1bca35f4d94af8cd	d889248cd0224792f2d378741bdbe60e
natalian.org	FALSE	/	FALSE	1112292143	wordpressuser_77ec62d0d056629b1bca35f4d94af8cd	admin
natalian.org	FALSE	/	FALSE	1112292143	wordpresspass_77ec62d0d056629b1bca35f4d94af8cd	7c4668fc8a16a3db996b9b2b48c86b7a
natalian.org	FALSE	/	FALSE	1112200634	wordpressblogid_77ec62d0d056629b1bca35f4d94af8cd	1
.imrworldwide.com	TRUE	/cgi-bin	FALSE	1232326805	IMRID	P85g@z699OUAAGBH334
.imrworldwide.com	TRUE	/cgi-bin	FALSE	1232326805	IMRID	P85g@z699OUAAGBH334
